PLT_CN,PDSI_ATA_bin
1.58024E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,2
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,2
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58025E+13,1
1.58062E+13,1
1.58063E+13,1
1.58063E+13,1
1.58063E+13,1
1.58063E+13,1
1.58063E+13,1
1.58063E+13,1
1.58063E+13,1
1.58063E+13,1
1.58063E+13,1
1.58063E+13,1
1.58063E+13,1
1.58063E+13,1
1.58063E+13,1
1.58063E+13,1
1.58063E+13,1
1.58063E+13,1
1.58063E+13,1
1.58064E+13,1
1.58064E+13,1
1.58064E+13,1
1.58064E+13,1
1.58064E+13,1
1.58064E+13,1
1.58064E+13,2
1.58064E+13,1
1.58064E+13,1
1.58064E+13,1
1.58064E+13,1
1.58064E+13,1
1.58064E+13,1
1.58064E+13,1
1.58064E+13,1
1.58065E+13,1
1.58065E+13,1
1.58065E+13,1
1.58065E+13,2
1.58065E+13,1
1.58065E+13,2
1.58065E+13,2
1.58065E+13,1
1.58065E+13,1
1.58066E+13,1
1.58066E+13,1
1.58066E+13,1
1.58066E+13,1
1.58066E+13,1
1.58066E+13,1
1.58066E+13,1
1.58066E+13,1
1.58066E+13,1
1.58066E+13,1
1.58066E+13,2
1.58066E+13,1
1.58066E+13,1
1.58066E+13,1
1.58066E+13,1
1.58066E+13,1
1.58066E+13,1
1.58066E+13,1
1.58066E+13,1
1.58066E+13,1
1.58066E+13,2
1.58066E+13,1
1.58066E+13,1
1.58066E+13,1
1.58066E+13,1
1.58066E+13,1
1.58066E+13,1
1.58066E+13,2
1.58066E+13,1
1.58066E+13,1
1.58066E+13,1
1.58067E+13,1
1.58067E+13,1
1.58067E+13,1
1.58067E+13,1
1.58067E+13,1
1.58067E+13,1
1.58067E+13,1
1.58067E+13,1
1.58067E+13,1
1.58067E+13,1
1.58067E+13,2
1.58067E+13,1
1.58067E+13,1
1.58067E+13,1
1.58067E+13,2
1.58067E+13,2
1.58067E+13,1
1.58067E+13,1
1.58067E+13,1
1.58067E+13,1
1.58067E+13,1
1.58067E+13,1
1.58067E+13,1
1.58067E+13,1
1.58067E+13,1
1.58067E+13,1
1.58067E+13,1
1.58067E+13,1
1.58068E+13,2
1.58068E+13,1
1.58068E+13,1
1.58068E+13,1
1.58068E+13,1
1.58068E+13,1
1.58068E+13,1
1.58068E+13,1
1.58068E+13,1
1.58068E+13,1
1.58068E+13,1
1.58068E+13,1
1.58068E+13,1
1.58068E+13,1
1.58068E+13,1
1.58068E+13,1
